sample	file	genome	assembly	dataset	type	technology	paired	scale
CB4_BCL6_RK040	/ifs/archive/cancer/Lab_RDF/scratch_Lab_RDF/ngs/chip_seq/data/human/rdf/hg19/rdf/katia/data/CB4_BCL6_RK040/reads/CB4_BCL6_RK040_hg19.sorted.rmdup.bam	Human	hg19	RDF_CB4_CB5	Seq	ChIP-seq	paired	NA
CB4_CREBBP_RK041	/ifs/archive/cancer/Lab_RDF/scratch_Lab_RDF/ngs/chip_seq/data/human/rdf/hg19/rdf/katia/data/CB4_CREBBP_RK041/genome/hg19/hisat2/CB4_CREBBP_RK041_hg19.sorted.rmdup.bam	Human	hg19	RDF_CB4_CB5	Seq	ChIP-seq	paired	NA
CB4_EP300_RK042	/ifs/archive/cancer/Lab_RDF/scratch_Lab_RDF/ngs/chip_seq/data/human/rdf/hg19/rdf/katia/data/CB4_EP300_RK042/genome/hg19/hisat2/CB4_EP300_RK042_hg19.sorted.rmdup.bam	Human	hg19	RDF_CB4_CB5	Seq	ChIP-seq	paired	NA
CB4_EZH2_RK058	/ifs/archive/cancer/Lab_RDF/scratch_Lab_RDF/ngs/chip_seq/data/human/rdf/hg19/rdf/katia/data/CB4_EZH2_RK058/reads/CB4_EZH2_RK058_hg19.sorted.rmdup.bam	Human	hg19	RDF_CB4_CB5	Seq	ChIP-seq	paired	NA
CB4_FOXO1_RK059	/ifs/archive/cancer/Lab_RDF/scratch_Lab_RDF/ngs/chip_seq/data/human/rdf/hg19/rdf/katia/data/CB4_FOXO1_RK059/reads/CB4_FOXO1_RK059_hg19.sorted.rmdup.bam	Human	hg19	RDF_CB4_CB5	Seq	ChIP-seq	paired	NA
CB4_H3K27Ac_RK043	/ifs/archive/cancer/Lab_RDF/scratch_Lab_RDF/ngs/chip_seq/data/human/rdf/hg19/rdf/katia/data/CB4_H3K27Ac_RK043/reads/CB4_H3K27Ac_RK043_hg19.sorted.rmdup.bam	Human	hg19	RDF_CB4_CB5	Seq	ChIP-seq	paired	NA
CB4_H3K27me3_RK047	/ifs/archive/cancer/Lab_RDF/scratch_Lab_RDF/ngs/chip_seq/data/human/rdf/hg19/rdf/katia/data/CB4_H3K27me3_RK047/reads/CB4_H3K27me3_RK047_hg19.sorted.rmdup.bam	Human	hg19	RDF_CB4_CB5	Seq	ChIP-seq	paired	NA
CB4_H3K4me1_RK049	/ifs/archive/cancer/Lab_RDF/scratch_Lab_RDF/ngs/chip_seq/data/human/rdf/hg19/rdf/katia/data/CB4_H3K4me1_RK049/reads/CB4_H3K4me1_RK049_hg19.sorted.rmdup.bam	Human	hg19	RDF_CB4_CB5	Seq	ChIP-seq	paired	NA
CB4_H3K4me3_RK048	/ifs/archive/cancer/Lab_RDF/scratch_Lab_RDF/ngs/chip_seq/data/human/rdf/hg19/rdf/katia/data/CB4_H3K4me3_RK048/reads/CB4_H3K4me3_RK048_hg19.sorted.rmdup.bam	Human	hg19	RDF_CB4_CB5	Seq	ChIP-seq	paired	NA
CB4_Input_RK063	/ifs/archive/cancer/Lab_RDF/scratch_Lab_RDF/ngs/chip_seq/data/human/rdf/hg19/rdf/katia/data/CB4_Input_RK063/genome/hg19/hisat2/CB4_Input_RK063_hg19.sorted.rmdup.bam	Human	hg19	RDF_CB4_CB5	Seq	ChIP-seq	paired	NA
